text,sentiment
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,1
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",-1
 happy bday!,1
 http://twitpic.com/4w75p - I like it!!,1
 that`s great!! weee!! visitors!,1
I THINK EVERYONE HATES ME ON HERE   lol,-1
" soooooo wish i could, but im in school and myspace is completely blocked",-1
My bike was put on hold...should have known that.... argh total bummer,-1
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",-1
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,-1
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",-1
 Miss you,-1
Cramps . . .,-1
 you guys didn`t say hi or answer my questions yesterday  but nice songs.,1
Stupid storm. No river for us tonight,-1
My dead grandpa pays more attention to me than you do,-1
"... need retail therapy, bad. AHHH.....gimme money geebus",-1
 you are lame  go make me breakfast!!,-1
 thats so cool,1
 look who I found just for you  --->  http://twitter.com/DJT2009,1
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",-1
Watching Body of Lies...good film,1
Happy mothers day mumm  xoxo,1
 I`m sorry  at least it`s Friday?,-1
"feels sorry every time I`m printing out, I use like 200 new papers",-1
 4n? ma rog  never heard of it  esti beat acum? u tweet too much,-1
" Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",1
  Hope ur havin fun in da club,1
thinks SG is wonderful,1
  im really sorry i know wallah how u feel this life is shittttttttt,-1
Not happy,-1
I`m so very tired...and have insomnia.,-1
 Thanks Ennio,1
" You seem nice, you`re generous and you know your stuff",1
   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,1
"Dear rain, you suck. Now I gotta change my plans for tonight",-1
I just cried whilst watching hollyoaks  .. i need a life! lol,-1
"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",1
" for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",-1
"On the monday, so i wont be able to be with you!  i love you",1
" Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",1
_LaMont yr very young looking dude,1
": hmmm, wrong link, ignore my tweet",-1
AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,-1
Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,-1
" yep, i wish they were all playing dubiln",1
 Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,1
Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,1
 Thank you!  I`m working on `s,1
Not feeling all that well today,-1
"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",-1
The underwire in my bra is sticking out and poking me in the armpit,-1
Happy Mothers Day!!!,1
Happy star wars day! May the fourth be with you,1
i just watched Marley & Me...i cried so hard!,-1
 haaaw..well i get out of class at 10:50..i hope i make it,1
"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",1
FML not having a car is prohibiting finding a job,-1
 I want to see David cook!!,1
